Energy_Source,Transport,Frequency of Transport,Waste Production,How Long Machine Works Daily,Machine repairing(in Months),Energy efficiency,Recycling Waste,CarbonEmission
electricity,public,rarely,Mega Scale,20,1,Yes,YES,1687
electricity,public,rarely,small Scale,22,0,Sometimes,YES,586
natural gas,private,rarely,small Scale,7,1,No,YES,1403
electricity,public,rarely,small Scale,19,2,No,YES,1263
natural gas,private,rarely,medium Scale,1,0,Yes,YES,3685
wood,private,frequently,medium Scale,3,0,Sometimes,YES,3537
electricity,public,frequently,large Scale,21,2,Sometimes,YES,2826
wood,private,very frequently,small Scale,24,2,No,YES,4545
natural gas,private,frequently,Mega Scale,22,2,Yes,YES,2998
natural gas,public,rarely,large Scale,17,1,No,YES,1423
electricity,private,frequently,medium Scale,4,0,Yes,YES,1000
coal,private,rarely,large Scale,13,1,No,YES,1968
electricity,public,rarely,medium Scale,5,1,Sometimes,YES,759
natural gas,private,frequently,small Scale,2,2,No,YES,1955
electricity,private,frequently,small Scale,15,2,Sometimes,YES,1543
natural gas,private,rarely,large Scale,10,1,Sometimes,NO,1888
coal,private,rarely,large Scale,8,2,No,YES,1382
natural gas,public,rarely,small Scale,14,2,Yes,YES,1476
electricity,public,rarely,small Scale,4,2,Yes,YES,1083
electricity,public,very frequently,medium Scale,3,1,No,YES,2098
wood,private,very frequently,small Scale,20,2,Yes,YES,2375
electricity,public,very frequently,medium Scale,14,1,Sometimes,NO,3153
coal,private,rarely,small Scale,23,0,No,YES,1534
natural gas,public,rarely,Mega Scale,10,2,No,YES,2230
electricity,private,rarely,small Scale,24,2,Yes,NO,2890
natural gas,private,frequently,medium Scale,20,2,Yes,YES,2348
electricity,public,very frequently,large Scale,16,0,No,YES,1511
wood,public,very frequently,small Scale,0,2,No,YES,2937
natural gas,public,frequently,medium Scale,15,1,Sometimes,YES,2464
natural gas,public,frequently,Mega Scale,19,0,No,YES,2183
coal,public,very frequently,medium Scale,4,0,No,YES,2259
coal,public,very frequently,small Scale,13,0,Sometimes,YES,2269
electricity,private,rarely,Mega Scale,24,1,Yes,YES,3747
electricity,public,frequently,large Scale,18,2,Yes,YES,2167
wood,public,rarely,Mega Scale,4,1,Yes,YES,1829
natural gas,private,frequently,Mega Scale,12,1,Yes,YES,4933
natural gas,private,frequently,Mega Scale,8,2,No,YES,2369
coal,private,very frequently,Mega Scale,4,2,No,YES,4040
natural gas,public,very frequently,medium Scale,13,2,Sometimes,YES,2794
wood,private,rarely,Mega Scale,20,0,Sometimes,YES,2617
natural gas,public,rarely,Mega Scale,13,2,Sometimes,YES,1948
electricity,private,frequently,medium Scale,9,0,Sometimes,YES,1374
natural gas,public,frequently,large Scale,21,0,No,NO,1438
electricity,public,rarely,large Scale,19,2,Yes,YES,1877
natural gas,public,frequently,large Scale,21,1,Sometimes,YES,2262
coal,public,rarely,small Scale,8,0,Yes,YES,1250
electricity,private,very frequently,small Scale,15,2,Sometimes,YES,3589
natural gas,public,frequently,small Scale,9,2,Yes,YES,2053
electricity,private,frequently,Mega Scale,10,2,Yes,YES,1630
wood,private,frequently,large Scale,3,2,No,YES,4464
electricity,public,frequently,medium Scale,7,2,No,NO,2449
wood,public,frequently,small Scale,24,2,No,YES,2107
electricity,public,rarely,medium Scale,5,0,Sometimes,YES,699
electricity,private,rarely,small Scale,5,0,No,YES,1052
electricity,private,very frequently,large Scale,2,2,No,YES,5005
natural gas,private,rarely,medium Scale,8,1,No,YES,2450
natural gas,public,rarely,medium Scale,11,1,Sometimes,YES,1539
coal,private,frequently,small Scale,22,2,No,NO,3831
electricity,private,very frequently,Mega Scale,20,1,Sometimes,YES,2556
coal,public,rarely,Mega Scale,20,1,Sometimes,YES,2317
natural gas,private,rarely,large Scale,4,1,No,YES,1681
electricity,private,rarely,large Scale,15,1,No,YES,2542
natural gas,public,frequently,large Scale,19,0,Yes,NO,2207
natural gas,public,rarely,small Scale,12,2,Sometimes,YES,1605
natural gas,private,frequently,Mega Scale,22,2,Sometimes,YES,4270
natural gas,public,rarely,large Scale,19,0,No,YES,1901
wood,public,frequently,small Scale,5,1,Yes,YES,1875
natural gas,public,rarely,large Scale,24,0,Yes,YES,1234
natural gas,private,rarely,Mega Scale,8,0,Sometimes,YES,2029
wood,private,frequently,large Scale,2,1,No,YES,1555
wood,public,rarely,Mega Scale,16,2,Sometimes,YES,1794
natural gas,public,rarely,large Scale,24,1,Sometimes,NO,1767
natural gas,public,frequently,small Scale,8,2,Yes,YES,1474
electricity,public,very frequently,small Scale,15,1,Yes,YES,2109
wood,private,rarely,small Scale,7,1,Yes,YES,3180
coal,private,rarely,medium Scale,14,0,Yes,YES,1024
wood,private,frequently,medium Scale,16,0,Yes,YES,3953
coal,private,very frequently,Mega Scale,22,0,Yes,YES,2306
wood,public,frequently,large Scale,9,1,Sometimes,YES,2176
natural gas,public,rarely,Mega Scale,17,1,Yes,YES,2114
wood,public,very frequently,medium Scale,19,1,Sometimes,YES,2940
electricity,private,rarely,large Scale,15,1,Yes,YES,2479
wood,public,frequently,medium Scale,5,2,Sometimes,YES,2164
coal,private,frequently,Mega Scale,10,0,No,YES,3586
wood,private,frequently,Mega Scale,9,2,Yes,YES,3600
natural gas,private,rarely,large Scale,3,0,No,YES,1914
coal,private,rarely,Mega Scale,3,1,Yes,YES,4887
natural gas,public,rarely,medium Scale,1,1,No,YES,1110
wood,private,rarely,medium Scale,22,1,Yes,YES,1575
electricity,private,frequently,large Scale,17,2,No,YES,3312
electricity,private,rarely,large Scale,9,1,Sometimes,YES,3367
natural gas,public,very frequently,medium Scale,15,0,Yes,YES,1999
wood,private,frequently,Mega Scale,21,2,No,YES,1651
coal,public,rarely,large Scale,8,2,No,YES,2325
wood,private,very frequently,small Scale,15,1,No,YES,2106
wood,private,rarely,medium Scale,6,1,No,YES,1341
electricity,private,rarely,Mega Scale,1,0,No,YES,4663
electricity,public,rarely,medium Scale,10,1,Yes,YES,877
wood,private,frequently,medium Scale,17,0,Sometimes,YES,2901
coal,private,rarely,Mega Scale,21,0,Sometimes,NO,3656
natural gas,public,rarely,large Scale,8,0,Yes,YES,1393
coal,public,rarely,small Scale,9,1,Yes,YES,1596
natural gas,public,frequently,Mega Scale,16,1,Sometimes,YES,2923
coal,private,rarely,large Scale,11,1,Yes,YES,3308
electricity,private,rarely,Mega Scale,11,0,Sometimes,YES,1511
natural gas,private,rarely,large Scale,23,0,Yes,YES,1103
wood,private,very frequently,small Scale,20,0,No,YES,3877
electricity,private,frequently,small Scale,17,0,Yes,YES,1242
natural gas,private,rarely,medium Scale,5,0,Yes,YES,4617
natural gas,public,rarely,Mega Scale,21,2,Yes,YES,2096
natural gas,private,rarely,Mega Scale,8,1,Yes,YES,1737
electricity,private,frequently,Mega Scale,8,2,Yes,YES,1433
electricity,private,frequently,Mega Scale,20,0,No,YES,2175
wood,public,very frequently,small Scale,12,2,Sometimes,YES,2838
electricity,private,very frequently,Mega Scale,23,0,Sometimes,YES,2994
natural gas,private,rarely,small Scale,23,2,Sometimes,YES,1384
coal,private,rarely,Mega Scale,9,2,Yes,YES,1687
electricity,public,frequently,large Scale,16,2,Sometimes,YES,1874
natural gas,public,rarely,medium Scale,24,1,Sometimes,YES,1444
natural gas,private,rarely,large Scale,10,2,Yes,YES,1411
natural gas,private,rarely,large Scale,22,0,Sometimes,YES,2545
wood,public,rarely,medium Scale,14,2,No,YES,1621
wood,public,frequently,small Scale,19,2,No,YES,1851
coal,public,rarely,large Scale,11,1,Yes,YES,1383
natural gas,public,rarely,large Scale,3,2,Sometimes,YES,1633
coal,public,very frequently,large Scale,10,1,No,YES,2694
electricity,private,very frequently,Mega Scale,8,1,No,NO,4009
natural gas,private,rarely,Mega Scale,18,0,Sometimes,YES,2696
natural gas,private,frequently,large Scale,22,0,No,YES,3959
natural gas,public,frequently,Mega Scale,5,0,Sometimes,NO,2404
natural gas,private,rarely,large Scale,24,2,Yes,YES,5346
coal,public,frequently,large Scale,14,2,Yes,YES,2059
wood,public,frequently,small Scale,10,1,Sometimes,YES,1373
coal,private,very frequently,small Scale,5,2,Sometimes,NO,4914
natural gas,private,rarely,medium Scale,19,2,Sometimes,YES,1526
coal,private,rarely,medium Scale,2,0,Yes,YES,1615
natural gas,private,rarely,Mega Scale,12,1,No,NO,1107
electricity,public,rarely,small Scale,16,0,No,YES,925
coal,public,frequently,large Scale,18,0,Sometimes,YES,2548
electricity,public,frequently,medium Scale,8,2,No,YES,1986
electricity,public,frequently,medium Scale,4,1,Sometimes,YES,1448
electricity,private,very frequently,small Scale,6,2,Yes,YES,1936
electricity,private,very frequently,Mega Scale,9,2,Yes,YES,6738
wood,private,frequently,small Scale,4,1,No,YES,1809
electricity,public,rarely,large Scale,8,1,No,YES,897
electricity,public,rarely,medium Scale,23,2,Sometimes,YES,982
wood,private,rarely,medium Scale,23,2,Sometimes,YES,2166
coal,private,rarely,Mega Scale,6,2,Sometimes,YES,1921
coal,private,frequently,large Scale,20,0,Sometimes,YES,2180
wood,private,rarely,small Scale,22,1,Yes,YES,1468
electricity,private,rarely,large Scale,2,1,No,YES,1793
electricity,public,rarely,small Scale,15,1,Sometimes,YES,1277
wood,private,frequently,small Scale,8,0,Yes,YES,4255
coal,public,frequently,small Scale,13,2,No,YES,2352
electricity,public,frequently,small Scale,9,1,Yes,YES,1592
coal,public,very frequently,large Scale,14,2,Sometimes,YES,3657
wood,private,very frequently,Mega Scale,0,2,Yes,YES,2693
wood,private,very frequently,large Scale,19,2,Sometimes,YES,2558
natural gas,private,very frequently,small Scale,15,1,Yes,YES,4497
wood,private,rarely,Mega Scale,23,2,Yes,YES,2241
electricity,private,rarely,Mega Scale,23,0,No,YES,1434
electricity,public,rarely,large Scale,4,2,Yes,YES,1101
coal,public,rarely,medium Scale,9,2,No,YES,1816
coal,private,rarely,large Scale,17,0,Yes,YES,3575
wood,public,frequently,medium Scale,21,0,No,YES,1499
electricity,public,frequently,medium Scale,23,2,Sometimes,YES,1703
wood,private,very frequently,large Scale,12,1,Yes,YES,5667
electricity,private,rarely,large Scale,20,1,Yes,YES,1884
natural gas,private,very frequently,Mega Scale,21,1,No,YES,3060
electricity,private,very frequently,large Scale,15,1,No,YES,2009
natural gas,private,very frequently,small Scale,10,2,Sometimes,YES,3299
electricity,private,frequently,Mega Scale,5,1,Sometimes,YES,2277
wood,public,very frequently,large Scale,9,2,No,NO,3295
wood,private,frequently,small Scale,13,2,No,YES,4584
natural gas,public,frequently,Mega Scale,22,0,Sometimes,YES,2384
electricity,public,rarely,large Scale,7,0,Sometimes,YES,876
natural gas,private,very frequently,Mega Scale,14,2,No,YES,4063
wood,public,rarely,large Scale,11,0,No,YES,1164
wood,public,rarely,Mega Scale,24,2,Sometimes,YES,2129
natural gas,private,very frequently,medium Scale,11,1,Yes,NO,2193
natural gas,public,frequently,medium Scale,6,1,No,YES,1801
wood,public,very frequently,large Scale,16,2,No,NO,3404
coal,private,rarely,medium Scale,15,0,No,YES,2347
natural gas,private,very frequently,small Scale,16,2,No,YES,2864
wood,public,rarely,large Scale,7,0,Sometimes,YES,1302
wood,private,very frequently,Mega Scale,3,2,No,YES,3370
coal,public,rarely,large Scale,13,2,Sometimes,NO,2057
electricity,private,very frequently,Mega Scale,14,0,Yes,YES,3549
natural gas,private,frequently,large Scale,5,1,Yes,YES,3792
coal,public,very frequently,Mega Scale,15,1,Sometimes,YES,2897
electricity,public,rarely,medium Scale,16,0,No,YES,961
electricity,public,rarely,medium Scale,5,1,No,NO,1023
coal,private,rarely,medium Scale,10,2,No,NO,2070
coal,private,rarely,large Scale,2,0,Sometimes,YES,1059
coal,public,frequently,medium Scale,4,2,Yes,YES,2220
electricity,public,frequently,medium Scale,4,0,No,YES,1897
electricity,public,rarely,medium Scale,14,2,Yes,NO,2007
electricity,private,rarely,Mega Scale,13,1,Yes,YES,2357
electricity,public,rarely,medium Scale,18,1,No,YES,990
electricity,private,very frequently,large Scale,9,2,Sometimes,YES,2161
natural gas,private,rarely,medium Scale,10,1,Yes,YES,1603
wood,public,very frequently,large Scale,22,1,Yes,YES,2592
natural gas,private,rarely,Mega Scale,7,0,No,YES,1148
natural gas,private,very frequently,Mega Scale,16,0,Yes,YES,3194
electricity,private,frequently,small Scale,13,0,No,YES,2573
coal,private,rarely,large Scale,23,0,Yes,YES,1460
wood,public,rarely,medium Scale,7,2,Sometimes,YES,1858
coal,public,very frequently,large Scale,11,0,Yes,YES,3929
wood,private,frequently,Mega Scale,4,0,Sometimes,YES,1929
wood,private,very frequently,small Scale,18,2,Sometimes,NO,3227
coal,public,rarely,Mega Scale,3,0,Sometimes,YES,2305
natural gas,public,frequently,Mega Scale,4,2,Yes,YES,2743
natural gas,public,rarely,medium Scale,4,1,No,YES,1442
natural gas,public,rarely,large Scale,7,2,No,YES,1576
electricity,private,very frequently,medium Scale,7,0,Sometimes,YES,2469
wood,private,rarely,small Scale,23,2,Sometimes,YES,1616
wood,public,rarely,Mega Scale,12,2,No,YES,1714
electricity,private,rarely,medium Scale,3,2,No,YES,1626
coal,private,very frequently,large Scale,3,0,No,YES,2662
electricity,public,rarely,small Scale,2,0,Yes,YES,485
electricity,public,rarely,small Scale,11,0,No,YES,623
natural gas,public,frequently,large Scale,15,0,Yes,YES,1867
electricity,private,frequently,large Scale,21,1,No,NO,4787
coal,public,rarely,small Scale,19,2,Yes,YES,1233
coal,private,frequently,large Scale,8,2,No,YES,2293
coal,public,rarely,medium Scale,17,1,Sometimes,YES,1206
natural gas,private,very frequently,medium Scale,7,0,Sometimes,YES,2474
wood,public,very frequently,Mega Scale,7,0,Sometimes,YES,1922
wood,public,frequently,Mega Scale,17,2,No,YES,2672
natural gas,private,frequently,medium Scale,3,1,Yes,YES,2679
wood,public,rarely,large Scale,7,0,Yes,YES,1908
electricity,public,rarely,large Scale,0,0,Yes,YES,1264
wood,private,rarely,Mega Scale,11,0,Yes,YES,1302
natural gas,public,rarely,large Scale,8,1,Yes,YES,1353
coal,private,very frequently,large Scale,19,2,Sometimes,YES,6160
coal,private,frequently,small Scale,23,0,Sometimes,YES,4680
electricity,private,rarely,small Scale,8,2,Yes,NO,960
coal,private,frequently,large Scale,4,0,Sometimes,YES,2032
wood,public,very frequently,small Scale,14,0,No,YES,2930
natural gas,public,frequently,Mega Scale,7,1,No,YES,2288
coal,public,very frequently,large Scale,6,1,No,YES,2808
wood,public,rarely,large Scale,24,1,No,YES,1673
wood,public,rarely,medium Scale,14,2,Yes,YES,991
wood,private,rarely,Mega Scale,19,0,Yes,YES,3301
natural gas,public,rarely,small Scale,5,1,Sometimes,YES,1210
coal,private,rarely,Mega Scale,13,2,Sometimes,YES,1917
wood,private,very frequently,large Scale,24,1,Sometimes,YES,3268
natural gas,public,rarely,Mega Scale,21,2,Yes,YES,1725
electricity,private,very frequently,Mega Scale,18,0,No,YES,1841
electricity,private,very frequently,medium Scale,19,0,No,YES,1853
natural gas,private,very frequently,large Scale,17,0,Sometimes,YES,5935
coal,public,rarely,large Scale,10,2,Yes,YES,2382
coal,private,frequently,small Scale,17,1,No,YES,2635
electricity,private,rarely,Mega Scale,10,2,No,YES,1141
natural gas,private,rarely,medium Scale,12,2,No,YES,1460
electricity,public,very frequently,small Scale,20,0,Sometimes,YES,1991
wood,private,rarely,medium Scale,20,0,No,YES,783
natural gas,public,very frequently,medium Scale,2,1,Yes,NO,3536
electricity,private,very frequently,small Scale,15,1,Yes,YES,3738
coal,private,rarely,medium Scale,8,2,Yes,YES,1650
wood,private,very frequently,small Scale,1,0,No,YES,1959
electricity,private,very frequently,Mega Scale,6,1,No,YES,2986
natural gas,public,rarely,medium Scale,9,1,No,NO,2033
coal,private,frequently,medium Scale,18,1,Yes,YES,2176
electricity,private,very frequently,medium Scale,23,0,No,YES,4050
coal,private,very frequently,medium Scale,13,0,Sometimes,YES,2947
wood,private,rarely,large Scale,5,0,Sometimes,YES,1070
electricity,private,very frequently,medium Scale,10,2,Sometimes,YES,5449
electricity,public,rarely,medium Scale,23,1,No,YES,1159
wood,public,frequently,medium Scale,24,2,Sometimes,YES,2011
wood,private,rarely,medium Scale,21,2,Yes,YES,3422
natural gas,private,very frequently,medium Scale,20,0,No,YES,4401
coal,public,rarely,Mega Scale,16,1,Sometimes,YES,1484
wood,public,rarely,medium Scale,14,0,Sometimes,YES,1520
electricity,public,frequently,Mega Scale,24,2,Yes,YES,2079
natural gas,public,rarely,large Scale,18,2,Yes,YES,1586
wood,private,very frequently,large Scale,6,1,No,YES,5477
electricity,private,very frequently,small Scale,4,1,Yes,YES,2207
natural gas,private,rarely,large Scale,18,0,No,YES,2389
coal,public,very frequently,Mega Scale,20,0,No,YES,2716
coal,private,frequently,small Scale,19,2,Yes,YES,3923
coal,private,rarely,large Scale,5,1,Yes,YES,2421
natural gas,public,very frequently,large Scale,4,1,Sometimes,YES,2334
coal,public,rarely,small Scale,11,1,No,YES,1866
coal,public,frequently,medium Scale,7,0,No,YES,1680
coal,private,very frequently,Mega Scale,13,2,No,YES,2958
electricity,public,very frequently,Mega Scale,1,2,Yes,YES,2701
coal,public,frequently,large Scale,10,0,Yes,YES,1877
wood,private,very frequently,small Scale,14,1,No,YES,5186
wood,public,rarely,large Scale,16,2,Yes,YES,1644
coal,public,rarely,medium Scale,7,0,No,YES,1152
wood,private,rarely,medium Scale,22,2,Sometimes,YES,1611
wood,public,rarely,Mega Scale,9,2,No,YES,2579
electricity,private,rarely,small Scale,3,0,No,YES,590
wood,public,very frequently,large Scale,15,1,Yes,YES,3093
natural gas,public,rarely,large Scale,9,1,Yes,YES,1647
natural gas,private,rarely,Mega Scale,24,0,Yes,YES,2002
electricity,private,very frequently,large Scale,0,1,Yes,YES,3197
coal,private,rarely,small Scale,10,2,Yes,YES,3931
electricity,public,frequently,Mega Scale,9,1,Sometimes,YES,2166
electricity,private,rarely,small Scale,11,1,No,YES,1172
natural gas,private,rarely,medium Scale,3,1,Yes,YES,1846
coal,public,rarely,Mega Scale,14,0,No,NO,1351
electricity,public,rarely,small Scale,24,1,Yes,YES,803
electricity,private,rarely,small Scale,20,2,No,YES,1098
coal,public,frequently,large Scale,18,0,No,YES,1761
coal,private,rarely,small Scale,10,1,Sometimes,YES,1808
electricity,private,very frequently,medium Scale,15,1,Yes,YES,1873
wood,private,rarely,medium Scale,16,0,Sometimes,YES,1153
wood,private,frequently,medium Scale,24,1,No,YES,1637
coal,public,very frequently,large Scale,20,0,No,YES,2245
wood,public,frequently,medium Scale,9,1,No,YES,1942
wood,public,frequently,large Scale,16,1,No,NO,2836
coal,public,frequently,small Scale,16,0,No,YES,1928
natural gas,public,rarely,Mega Scale,13,1,Sometimes,YES,1788
coal,public,rarely,large Scale,2,1,No,YES,1887
coal,public,frequently,medium Scale,7,2,Yes,YES,2983
electricity,public,rarely,large Scale,19,1,Sometimes,YES,1522
natural gas,private,rarely,small Scale,22,2,No,YES,4184
electricity,public,rarely,Mega Scale,11,0,Sometimes,YES,737
natural gas,public,rarely,medium Scale,12,0,No,YES,1256
wood,private,rarely,medium Scale,11,1,Sometimes,NO,1756
coal,private,rarely,small Scale,12,2,Sometimes,YES,1747
electricity,private,rarely,medium Scale,20,0,Yes,YES,2020
wood,public,rarely,Mega Scale,15,1,Sometimes,YES,1740
electricity,public,rarely,medium Scale,12,2,Yes,YES,1281
coal,public,frequently,large Scale,11,0,Sometimes,YES,1809
wood,private,rarely,large Scale,1,2,Yes,YES,1968
coal,public,rarely,medium Scale,5,1,Yes,YES,1332
coal,public,rarely,large Scale,23,1,Yes,YES,1491
wood,private,rarely,Mega Scale,12,0,Yes,YES,2062
coal,public,rarely,Mega Scale,20,0,No,YES,1819
wood,public,rarely,small Scale,21,1,Yes,YES,1615
coal,public,rarely,large Scale,10,2,Yes,YES,1560
electricity,public,rarely,medium Scale,18,1,No,YES,1140
coal,private,rarely,medium Scale,14,2,Sometimes,YES,2152
electricity,public,rarely,medium Scale,7,0,Yes,YES,774
natural gas,private,rarely,large Scale,16,0,No,YES,1379
electricity,private,rarely,large Scale,1,0,Sometimes,YES,1511
coal,public,frequently,Mega Scale,2,0,Yes,YES,1910
coal,private,rarely,Mega Scale,20,0,No,YES,1517
natural gas,public,rarely,small Scale,17,2,Yes,NO,1556
electricity,private,rarely,Mega Scale,13,0,No,YES,2584
coal,public,frequently,medium Scale,3,0,Yes,NO,1857
electricity,public,very frequently,medium Scale,19,0,No,YES,2592
wood,private,rarely,Mega Scale,23,2,Sometimes,YES,1354
coal,private,rarely,Mega Scale,7,2,Yes,YES,3376
natural gas,private,very frequently,medium Scale,16,2,No,YES,3386
wood,private,rarely,large Scale,15,2,No,YES,920
coal,private,rarely,large Scale,8,1,Sometimes,YES,1484
wood,public,very frequently,medium Scale,17,0,Sometimes,YES,2861
electricity,private,frequently,large Scale,8,1,No,YES,2064
natural gas,public,rarely,Mega Scale,14,0,No,YES,2132
electricity,public,rarely,Mega Scale,7,0,No,YES,865
wood,public,frequently,Mega Scale,22,0,Sometimes,YES,2436
electricity,public,frequently,large Scale,24,0,Yes,YES,1757
coal,private,frequently,large Scale,12,1,Yes,YES,2501
wood,public,very frequently,Mega Scale,8,0,Sometimes,YES,2753
wood,private,rarely,large Scale,17,0,Yes,YES,2218
electricity,private,rarely,small Scale,0,1,Sometimes,YES,2483
electricity,public,very frequently,large Scale,23,1,No,YES,2106
electricity,private,very frequently,large Scale,20,1,Sometimes,YES,3127
electricity,private,rarely,small Scale,15,1,No,YES,3045
wood,public,frequently,small Scale,15,2,Yes,YES,2023
coal,public,rarely,large Scale,9,2,No,YES,2366
wood,public,very frequently,Mega Scale,4,2,No,YES,3933
coal,public,rarely,medium Scale,5,0,Sometimes,NO,1172
coal,private,rarely,small Scale,12,0,Yes,YES,2989
coal,private,rarely,Mega Scale,17,2,Sometimes,YES,1650
wood,public,rarely,large Scale,24,1,Yes,YES,2255
coal,public,rarely,small Scale,13,2,Yes,YES,1325
wood,private,frequently,large Scale,11,1,No,YES,3380
coal,private,rarely,large Scale,23,1,Yes,YES,2318
coal,private,rarely,medium Scale,17,0,No,YES,1448
coal,public,very frequently,large Scale,24,2,No,YES,3585
coal,private,very frequently,small Scale,0,2,No,YES,4882
electricity,public,frequently,small Scale,17,1,No,YES,1500
electricity,private,frequently,medium Scale,18,2,Sometimes,YES,2015
coal,public,very frequently,large Scale,2,2,Yes,NO,4542
coal,public,rarely,large Scale,19,2,Sometimes,YES,2030
electricity,private,frequently,Mega Scale,24,0,Sometimes,YES,2398
natural gas,public,frequently,Mega Scale,17,2,Yes,YES,1678
electricity,public,very frequently,medium Scale,14,2,Sometimes,YES,2688
electricity,private,rarely,small Scale,20,2,Sometimes,YES,2259
wood,private,very frequently,Mega Scale,21,1,No,YES,3281
coal,private,frequently,medium Scale,7,1,Sometimes,YES,3560
electricity,public,very frequently,Mega Scale,19,1,No,YES,2080
natural gas,private,frequently,small Scale,15,1,No,YES,1555
coal,public,very frequently,large Scale,24,0,No,YES,3555
electricity,public,rarely,small Scale,17,1,Yes,NO,1095
natural gas,private,very frequently,large Scale,9,1,Yes,YES,2777
natural gas,private,rarely,Mega Scale,3,2,Yes,YES,1761
electricity,public,rarely,Mega Scale,10,1,Sometimes,YES,1737
coal,public,rarely,large Scale,3,1,Sometimes,YES,1255
electricity,public,rarely,small Scale,1,2,No,YES,1952
wood,private,frequently,medium Scale,23,2,No,YES,2330
wood,public,frequently,small Scale,0,2,Sometimes,YES,1617
natural gas,public,very frequently,Mega Scale,4,1,No,YES,3033
natural gas,private,rarely,Mega Scale,22,2,Sometimes,YES,2514
coal,private,rarely,Mega Scale,21,2,Sometimes,NO,4014
electricity,public,rarely,small Scale,11,1,Yes,YES,1095
coal,private,frequently,Mega Scale,21,1,Yes,YES,1974
electricity,public,frequently,large Scale,17,1,No,YES,1707
electricity,private,frequently,large Scale,5,2,Yes,YES,1933
coal,private,frequently,Mega Scale,17,2,Yes,YES,2742
natural gas,private,frequently,medium Scale,0,1,No,YES,2282
electricity,private,rarely,medium Scale,4,2,Yes,YES,3680
electricity,private,frequently,Mega Scale,19,0,Sometimes,YES,1342
coal,private,rarely,small Scale,9,0,Sometimes,YES,2045
electricity,public,rarely,medium Scale,21,0,No,YES,1950
electricity,public,very frequently,Mega Scale,22,0,No,NO,2569
coal,public,rarely,large Scale,12,1,Yes,YES,1582
coal,private,rarely,medium Scale,3,0,No,YES,5145
natural gas,private,rarely,large Scale,14,1,No,YES,1082
coal,private,frequently,Mega Scale,17,0,Sometimes,YES,2637
wood,private,very frequently,Mega Scale,13,0,No,YES,2937
wood,public,rarely,large Scale,1,2,No,YES,2095
electricity,public,very frequently,medium Scale,14,0,Sometimes,YES,2056
wood,private,very frequently,large Scale,9,1,Yes,YES,4231
electricity,private,rarely,Mega Scale,23,0,Yes,YES,1634
coal,public,rarely,large Scale,12,2,Sometimes,YES,1737
wood,private,rarely,large Scale,15,2,Yes,YES,2686
electricity,private,frequently,Mega Scale,16,2,No,YES,2703
wood,public,rarely,medium Scale,5,2,Sometimes,YES,1262
coal,private,frequently,large Scale,2,1,Sometimes,YES,6176
electricity,private,rarely,Mega Scale,24,0,No,YES,1864
electricity,private,rarely,small Scale,8,0,Yes,YES,538
wood,public,rarely,large Scale,2,0,Yes,YES,1530
electricity,private,rarely,Mega Scale,4,0,No,YES,691
electricity,public,rarely,large Scale,23,0,No,YES,1182
electricity,public,rarely,medium Scale,22,2,Yes,YES,1638
electricity,public,rarely,large Scale,23,2,Sometimes,YES,998
natural gas,public,very frequently,large Scale,8,1,Yes,YES,2726
electricity,private,rarely,large Scale,0,2,Yes,YES,4038
coal,private,rarely,small Scale,19,2,Yes,YES,1396
coal,private,rarely,Mega Scale,0,1,Sometimes,YES,1575
wood,private,very frequently,large Scale,9,2,Sometimes,YES,4729
electricity,private,frequently,large Scale,5,1,Yes,YES,1780
coal,public,rarely,medium Scale,13,2,Sometimes,YES,1376
wood,public,rarely,Mega Scale,22,1,Sometimes,YES,1813
coal,public,rarely,Mega Scale,22,1,No,YES,2002
coal,private,rarely,small Scale,5,0,No,YES,1208
electricity,private,frequently,small Scale,16,1,No,YES,3166
natural gas,private,rarely,Mega Scale,8,0,Yes,YES,1134
wood,public,rarely,Mega Scale,22,0,No,YES,974
electricity,private,frequently,small Scale,1,1,No,YES,2009
electricity,public,rarely,Mega Scale,2,1,Sometimes,YES,1418
natural gas,private,rarely,small Scale,3,0,No,YES,926
wood,public,rarely,Mega Scale,4,1,Sometimes,YES,793
coal,public,rarely,Mega Scale,21,0,Yes,YES,1571
wood,private,rarely,Mega Scale,24,2,No,YES,3200
electricity,private,rarely,medium Scale,5,1,No,YES,3362
electricity,public,frequently,Mega Scale,1,2,Yes,YES,2262
natural gas,public,very frequently,large Scale,0,0,Sometimes,YES,2787
coal,private,very frequently,large Scale,14,2,No,YES,3451
electricity,private,rarely,medium Scale,3,2,Yes,YES,2629
wood,private,rarely,large Scale,14,0,Sometimes,YES,1302
natural gas,private,very frequently,large Scale,7,1,Sometimes,YES,3859
wood,private,rarely,medium Scale,6,0,Sometimes,YES,1878
electricity,public,rarely,medium Scale,2,0,Sometimes,YES,947
electricity,public,very frequently,medium Scale,23,2,Yes,YES,2005
coal,public,frequently,large Scale,12,1,No,YES,3316
wood,private,very frequently,medium Scale,6,2,Sometimes,YES,5279
wood,public,frequently,medium Scale,0,0,Yes,YES,1259
natural gas,private,rarely,small Scale,8,0,Sometimes,YES,4552
natural gas,private,rarely,large Scale,7,0,Yes,YES,2225
wood,public,frequently,medium Scale,5,0,Sometimes,YES,2039
natural gas,private,very frequently,medium Scale,18,2,Sometimes,YES,5735
coal,private,very frequently,large Scale,13,0,No,YES,2866
coal,private,rarely,Mega Scale,12,0,Yes,YES,2014
